Date,Country,Cases,Pop
2021-06-03,Portugal,724,10295909
2021-06-03,Romania,164,19328838
2021-06-03,Slovakia,227,5457873
2021-06-03,Slovenia,374,2095861
2021-06-03,Spain,5250,47332614
2021-06-03,Sweden,1080,10327589
2021-07-03,Austria,163,8901064
2021-07-03,Belgium,518,11522440
2021-07-03,Bulgaria,81,6951482
2021-07-03,Croatia,92,4058165
2021-07-03,Cyprus,529,888005
2021-07-03,Czechia,165,10693939
2021-07-03,Denmark,326,5822763
2021-07-03,Estonia,38,1328976
2021-07-03,Finland,216,5525292
2021-07-03,France,2683,67320216
2021-07-03,Germany,671,83166711
2021-07-03,Greece,980,10718565
2021-07-03,Hungary,0,9769526
2021-07-03,Iceland,0,364134
2021-07-03,Ireland,512,4964440
2021-07-03,Italy,794,59641488
2021-07-03,Latvia,40,1907675
2021-07-03,Liechtenstein,2,38747
2021-07-03,Lithuania,37,2794090
2021-07-03,Luxembourg,0,626108
2021-07-03,Malta,7,514564
2021-07-03,Netherlands,940,17407585
2021-07-03,Norway,193,5367580
2021-07-03,Poland,97,37958138
2021-07-03,Portugal,2436,10295909
2021-07-03,Romania,37,19328838
2021-07-03,Slovakia,29,5457873
2021-07-03,Slovenia,30,2095861
2021-07-03,Spain,0,47332614
2021-07-03,Sweden,3,10327589
2021-08-03,Austria,332,8901064
2021-08-03,Belgium,1939,11522440
2021-08-03,Bulgaria,393,6951482
2021-08-03,Croatia,29,4058165
2021-08-03,Cyprus,493,888005
2021-08-03,Czechia,151,10693939
2021-08-03,Denmark,785,5822763
2021-08-03,Estonia,207,1328976
2021-08-03,Finland,345,5525292
2021-08-03,France,5184,67320216
2021-08-03,Germany,1766,83166711
2021-08-03,Greece,2154,10718565
2021-08-03,Hungary,26,9769526
2021-08-03,Iceland,71,364134
2021-08-03,Ireland,1352,4964440
2021-08-03,Italy,3185,59641488
2021-08-03,Latvia,26,1907675
2021-08-03,Liechtenstein,2,38747
2021-08-03,Lithuania,410,2794090
2021-08-03,Luxembourg,120,626108
2021-08-03,Malta,69,514564
2021-08-03,Netherlands,2103,17407585
2021-08-03,Norway,823,5367580
2021-08-03,Poland,91,37958138
2021-08-03,Portugal,1190,10295909
2021-08-03,Romania,137,19328838
2021-08-03,Slovakia,108,5457873
2021-08-03,Slovenia,182,2095861
2021-08-03,Spain,20327,47332614
2021-08-03,Sweden,956,10327589
2021-05-04,Austria,888,8901064
2021-05-04,Belgium,3684,11522440
2021-05-04,Bulgaria,631,6951482
2021-05-04,Croatia,349,4058165
2021-05-04,Cyprus,481,888005
2021-05-04,Czechia,2220,10693939
2021-05-04,Denmark,761,5822763
2021-05-04,Estonia,401,1328976
2021-05-04,Finland,117,5525292
2021-05-04,France,28933,67320216
2021-05-04,Germany,7534,83166711
2021-05-04,Greece,2146,10718565
2021-05-04,Hungary,726,9769526
2021-05-04,Iceland,11,364134
2021-05-04,Ireland,452,4964440
2021-05-04,Italy,5946,59641488
2021-05-04,Latvia,203,1907675
2021-05-04,Liechtenstein,2,38747
2021-05-04,Lithuania,657,2794090
2021-05-04,Luxembourg,98,626108
2021-05-04,Malta,27,514564
2021-05-04,Netherlands,9186,17407585
2021-05-04,Norway,928,5367580
2021-05-04,Poland,2523,37958138
2021-05-04,Portugal,180,10295909
2021-05-04,Romania,682,19328838
2021-05-04,Slovakia,1090,5457873
2021-05-04,Slovenia,210,2095861
2021-05-04,Spain,4515,47332614
2021-05-04,Sweden,7035,10327589
2021-06-04,Austria,323,8901064
2021-06-04,Belgium,1354,11522440
2021-06-04,Bulgaria,170,6951482
2021-06-04,Croatia,280,4058165
2021-06-04,Cyprus,53,888005
2021-06-04,Czechia,423,10693939
2021-06-04,Denmark,1028,5822763
2021-06-04,Estonia,96,1328976
2021-06-04,Finland,143,5525292
2021-06-04,France,8161,67320216
2021-06-04,Germany,3165,83166711
2021-06-04,Greece,1209,10718565
2021-06-04,Hungary,269,9769526
2021-06-04,Iceland,2,364134
2021-06-04,Ireland,462,4964440
2021-06-04,Italy,1963,59641488
2021-06-04,Latvia,296,1907675
2021-06-04,Liechtenstein,2,38747
2021-06-04,Lithuania,370,2794090
2021-06-04,Luxembourg,61,626108
2021-06-04,Malta,2,514564
2021-06-04,Netherlands,2761,17407585
2021-06-04,Norway,351,5367580
2021-06-04,Poland,565,37958138
2021-06-04,Portugal,769,10295909
2021-06-04,Romania,196,19328838
2021-06-04,Slovakia,252,5457873
2021-06-04,Slovenia,273,2095861
2021-06-04,Spain,4975,47332614
2021-06-04,Sweden,989,10327589
2021-07-04,Austria,145,8901064
2021-07-04,Belgium,366,11522440
2021-07-04,Bulgaria,51,6951482
2021-07-04,Croatia,114,4058165
2021-07-04,Cyprus,583,888005
2021-07-04,Czechia,124,10693939
2021-07-04,Denmark,447,5822763
2021-07-04,Estonia,27,1328976
2021-07-04,Finland,192,5525292
2021-07-04,France,3006,67320216
2021-07-04,Germany,559,83166711
2021-07-04,Greece,1182,10718565
2021-07-04,Hungary,0,9769526
2021-07-04,Iceland,0,364134
2021-07-04,Ireland,448,4964440
2021-07-04,Italy,929,59641488
2021-07-04,Latvia,60,1907675
2021-07-04,Liechtenstein,3,38747
2021-07-04,Lithuania,25,2794090
2021-07-04,Luxembourg,136,626108
2021-07-04,Malta,12,514564
2021-07-04,Netherlands,1123,17407585
2021-07-04,Norway,0,5367580
2021-07-04,Poland,108,37958138
2021-07-04,Portugal,2605,10295909
2021-07-04,Romania,58,19328838
2021-07-04,Slovakia,12,5457873
2021-07-04,Slovenia,8,2095861
2021-07-04,Spain,0,47332614
2021-07-04,Sweden,2,10327589
2021-08-04,Austria,376,8901064
2021-08-04,Belgium,1866,11522440
2021-08-04,Bulgaria,462,6951482
2021-08-04,Croatia,186,4058165
2021-08-04,Cyprus,598,888005
2021-08-04,Czechia,237,10693939
2021-08-04,Denmark,810,5822763
2021-08-04,Estonia,243,1328976
2021-08-04,Finland,692,5525292
2021-08-04,France,26829,67320216
2021-08-04,Germany,3571,83166711
2021-08-04,Greece,3969,10718565
2021-08-04,Hungary,59,9769526
2021-08-04,Iceland,111,364134
2021-08-04,Ireland,884,4964440
2021-08-04,Italy,4841,59641488
2021-08-04,Latvia,112,1907675
2021-08-04,Liechtenstein,2,38747
2021-08-04,Lithuania,535,2794090
2021-08-04,Luxembourg,52,626108
2021-08-04,Malta,82,514564
2021-08-04,Netherlands,2213,17407585
2021-08-04,Norway,314,5367580
2021-08-04,Poland,164,37958138
2021-08-04,Portugal,2076,10295909
2021-08-04,Romania,233,19328838
2021-08-04,Slovakia,62,5457873
2021-08-04,Slovenia,139,2095861
2021-08-04,Spain,21874,47332614
2021-08-04,Sweden,853,10327589
2021-05-05,Austria,1297,8901064
2021-05-05,Belgium,3657,11522440
2021-05-05,Bulgaria,367,6951482
2021-05-05,Croatia,1396,4058165
2021-05-05,Cyprus,509,888005
2021-05-05,Czechia,2416,10693939
2021-05-05,Denmark,809,5822763
2021-05-05,Estonia,437,1328976
2021-05-05,Finland,184,5525292
2021-05-05,France,20212,67320216
2021-05-05,Germany,18034,83166711
2021-05-05,Greece,1368,10718565
2021-05-05,Hungary,1130,9769526
2021-05-05,Iceland,8,364134
2021-05-05,Ireland,382,4964440
2021-05-05,Italy,9113,59641488
2021-05-05,Latvia,425,1907675
2021-05-05,Liechtenstein,8,38747
2021-05-05,Lithuania,1113,2794090
